dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.337742,2.169876,6.883585,5.822326,-6.301505,8.166424,1.401613
0.020000,6.354634,2.282801,6.997767,5.709099,-5.661330,32.008717,1.442154
0.020000,6.367040,2.394434,7.110087,5.616013,-4.654318,50.350590,1.477372
0.020000,6.375640,2.504884,7.220871,5.539223,-3.839493,40.741274,1.508199
0.020000,6.380977,2.614265,7.330383,5.475562,-3.183067,32.821303,1.535381
0.020000,6.383486,2.722680,7.438827,5.422200,-2.668078,25.749467,1.559514
0.020000,6.383704,2.823743,7.539890,5.053148,-18.452604,-789.226308,1.574586
0.020000,6.382923,2.926336,7.642486,5.129800,3.832586,1114.259464,1.582004
0.020000,6.381460,3.028429,7.744589,5.105164,-1.231802,-253.219371,1.588013
0.020000,6.379465,3.130027,7.846206,5.080880,-1.214187,0.880719,1.592635
0.020000,6.377080,3.231137,7.947344,5.056882,-1.199905,0.714102,1.595886
0.020000,6.374449,3.331764,8.048006,5.033083,-1.189939,0.498314,1.597776
0.020000,6.371708,3.431914,8.148194,5.009403,-1.184024,0.295784,1.598314
0.020000,6.368993,3.531592,8.247909,4.985755,-1.182374,0.082466,1.597500
0.020000,6.366440,3.630801,8.347150,4.962057,-1.184934,-0.127968,1.595331
0.020000,6.364180,3.729539,8.445914,4.938219,-1.191861,-0.346395,1.591801
0.020000,6.362345,3.827805,8.544198,4.914164,-1.202763,-0.545091,1.586897
0.020000,6.361067,3.925593,8.641994,4.889810,-1.217702,-0.746952,1.580600
0.020000,6.360476,4.022893,8.739296,4.865081,-1.236443,-0.937038,1.572892
0.020000,6.360704,4.119691,8.836094,4.839914,-1.258345,-1.095097,1.563745
0.020000,6.361881,4.215969,8.932379,4.814252,-1.283113,-1.238379,1.553132
0.020000,6.364140,4.311703,9.028140,4.788045,-1.310333,-1.361001,1.541022
0.020000,6.367611,4.406865,9.123365,4.761269,-1.338828,-1.424765,1.527382
0.020000,6.372426,4.501421,9.218043,4.733914,-1.367731,-1.445148,1.512180
0.020000,6.378715,4.595331,9.312163,4.705999,-1.395780,-1.402470,1.495383
0.020000,6.386609,4.688548,9.405715,4.677570,-1.421434,-1.282670,1.476962
0.020000,6.396235,4.781023,9.498689,4.648713,-1.442844,-1.070523,1.456893
0.020000,6.407719,4.872698,9.591080,4.619559,-1.457682,-0.741896,1.435159
0.020000,6.421183,4.963511,9.682886,4.590279,-1.463996,-0.315713,1.411752
0.020000,6.436744,5.053396,9.774108,4.561104,-1.458767,0.261464,1.386679
0.020000,6.454515,5.142283,9.864754,4.532323,-1.439081,0.984297,1.359963
0.020000,6.474601,5.230101,9.954840,4.504271,-1.402583,1.824900,1.331644
0.020000,6.497097,5.316776,10.044387,4.477343,-1.346371,2.810617,1.301787
0.020000,6.522091,5.402235,10.133426,4.451971,-1.268630,3.887035,1.270482
0.020000,6.549659,5.486408,10.221998,4.428618,-1.167638,5.049604,1.237843
0.020000,6.579868,5.569226,10.310153,4.407748,-1.043479,6.207959,1.204012
0.020000,6.612769,5.650624,10.397949,4.389803,-0.897287,7.309572,1.169156
0.020000,6.648403,5.730543,10.485453,4.375193,-0.730503,8.339215,1.133466
0.020000,6.686796,5.808931,10.572738,4.364238,-0.547757,9.137310,1.097151
0.020000,6.727960,5.885739,10.659881,4.357145,-0.354624,9.656667,1.060431
0.020000,6.771892,5.960926,10.746962,4.354064,-0.154071,10.027649,1.023534
0.020000,6.818578,6.034455,10.834061,4.354924,0.043011,9.854092,0.986686
0.020000,6.867985,6.106298,10.921253,4.359591,0.233353,9.517075,0.950106
0.020000,6.920070,6.176429,11.008609,4.367834,0.412133,8.939036,0.913996
0.020000,6.974774,6.244829,11.096195,4.379266,0.571619,7.974276,0.878539
0.020000,7.032029,6.311486,11.184065,4.393501,0.711763,7.007177,0.843894
0.020000,7.091751,6.376389,11.272265,4.409999,0.824903,5.657032,0.810193
0.020000,7.153852,6.439538,11.360833,4.428402,0.920158,4.762728,0.777541
0.020000,7.218233,6.500934,11.449796,4.448159,0.987842,3.384205,0.746018
0.020000,7.282092,6.558354,11.535674,4.293890,-7.713466,-435.065415,0.718750
0.020000,7.350516,6.616484,11.625456,4.489143,9.762638,873.805245,0.689568
0.020000,7.420422,6.672400,11.714974,4.475896,-0.662333,-521.248573,0.659629
0.020000,7.491798,6.726030,11.804253,4.463937,-0.597979,3.217713,0.629006
0.020000,7.564629,6.777308,11.893325,4.453578,-0.517929,4.002470,0.597793
0.020000,7.638895,6.826175,11.982226,4.445068,-0.425498,4.621554,0.566093
0.020000,7.714571,6.872582,12.070998,4.438618,-0.322485,5.150681,0.534025
0.020000,7.791630,6.916487,12.159687,4.434429,-0.209448,5.651827,0.501718
0.020000,7.870038,6.957859,12.248340,4.432663,-0.088336,6.055593,0.469310
0.020000,7.949758,6.996675,12.337008,4.433389,0.036324,6.233012,0.436943
0.020000,8.030749,7.032924,12.425741,4.436667,0.163886,6.378124,0.404764
0.020000,8.112967,7.066605,12.514591,4.442466,0.289982,6.304785,0.372916
0.020000,8.196363,7.097727,12.603605,4.450700,0.411659,6.083827,0.341538
0.020000,8.280886,7.126309,12.692829,4.461227,0.526389,5.736504,0.310761
0.020000,8.366481,7.152380,12.782307,4.473872,0.632243,5.292729,0.280706
0.020000,8.453092,7.175979,12.872075,4.488399,0.726329,4.704300,0.251481
0.020000,8.540660,7.197152,12.962166,4.504571,0.808628,4.114915,0.223179
0.020000,8.629126,7.215956,13.052609,4.522125,0.877695,3.453347,0.195880
0.020000,8.718431,7.232453,13.143425,4.540802,0.933838,2.807163,0.169648
0.020000,8.808516,7.246712,13.234632,4.560350,0.977376,2.176929,0.144532
0.020000,8.899325,7.258810,13.326242,4.580526,1.008827,1.572514,0.120568
0.020000,8.990800,7.268827,13.418265,4.601123,1.029855,1.051393,0.097781
0.020000,9.082890,7.276847,13.510703,4.621938,1.040718,0.543185,0.076183
0.020000,9.175545,7.282959,13.603560,4.642816,1.043908,0.159494,0.055777
0.020000,9.268719,7.287254,13.696832,4.663613,1.039851,-0.202842,0.036559
0.020000,9.362368,7.289824,13.790516,4.684211,1.029933,-0.495938,0.018517
0.020000,9.456454,7.290762,13.884607,4.704530,1.015939,-0.699674,0.001637
0.020000,9.550942,7.290164,13.979097,4.724500,0.998468,-0.873547,6.269082
0.020000,9.645801,7.288123,14.073978,4.744072,0.978602,-0.993323,6.254460
0.020000,9.741005,7.284734,14.169242,4.763216,0.957239,-1.068135,6.240931
0.020000,9.836531,7.280090,14.264881,4.781914,0.934898,-1.117029,6.228471
0.020000,9.932358,7.274284,14.360884,4.800168,0.912679,-1.110979,6.217054
0.020000,10.028472,7.267408,14.457244,4.817984,0.890811,-1.093373,6.206654
0.020000,10.124860,7.259553,14.553951,4.835371,0.869324,-1.074368,6.197247
0.020000,10.221512,7.250807,14.650998,4.852358,0.849345,-0.998972,6.188811
0.020000,10.318342,7.241268,14.748297,4.864933,0.628767,-11.028855,6.181330
0.020000,10.415071,7.231055,14.845563,4.863294,-0.081948,-35.535790,6.174799
0.020000,10.511383,7.220295,14.942475,4.845595,-0.884928,-40.148991,6.169207
0.020000,10.607162,7.209097,15.038906,4.821537,-1.202928,-15.899993,6.164526
0.020000,10.702402,7.197552,15.134843,4.796893,-1.232201,-1.463646,6.160723
0.020000,10.790897,7.186526,15.224022,4.458923,-16.898477,-783.313790,6.157474
0.020000,10.883650,7.174519,15.317550,4.676391,10.873405,1388.594084,6.151356
0.020000,10.975402,7.162053,15.410144,4.629715,-2.333834,-660.361966,6.144857
0.020000,11.066142,7.149106,15.501804,4.582982,-2.336638,-0.140183,6.137973
0.020000,11.155863,7.135655,15.592527,4.536184,-2.339891,-0.162659,6.130701
0.020000,11.244556,7.121680,15.682314,4.489337,-2.342365,-0.123669,6.123037
0.020000,11.332210,7.107162,15.771162,4.442401,-2.346766,-0.220048,6.114977
0.020000,11.418815,7.092082,15.859070,4.395396,-2.350279,-0.175653,6.106517
0.020000,11.504359,7.076422,15.946036,4.348317,-2.353949,-0.183514,6.097653
0.020000,11.588832,7.060165,16.032060,4.301162,-2.357728,-0.188977,6.088380
0.020000,11.672222,7.043296,16.117138,4.253931,-2.361563,-0.191717,6.078693
0.020000,11.754515,7.025799,16.201271,4.206623,-2.365391,-0.191394,6.068589
0.020000,11.835698,7.007660,16.284455,4.159240,-2.369143,-0.187643,6.058063
0.020000,11.915758,6.988868,16.366691,4.111786,-2.372745,-0.180081,6.047112
0.020000,11.994680,6.969411,16.447976,4.064263,-2.376111,-0.168307,6.035731
0.020000,12.072450,6.949278,16.528310,4.016703,-2.378035,-0.096190,6.023917
0.020000,12.149054,6.928461,16.607692,3.969084,-2.380915,-0.143997,6.011668
0.020000,12.224475,6.906952,16.686121,3.921426,-2.382930,-0.100765,5.998983
0.020000,12.298700,6.884745,16.763596,3.873765,-2.383041,-0.005529,5.985859
0.020000,12.371711,6.861835,16.840118,3.826084,-2.384029,-0.049412,5.972296
0.020000,12.443495,6.838219,16.915686,3.778416,-2.383427,0.030089,5.958296
0.020000,12.514035,6.813895,16.990302,3.730807,-2.380421,0.150294,5.943860
0.020000,12.583316,6.788863,17.063967,3.683236,-2.378565,0.092826,5.928992
0.020000,12.651324,6.763126,17.136682,3.635753,-2.374134,0.221531,5.913696
0.020000,12.718044,6.736686,17.208450,3.588386,-2.368368,0.288289,5.897980
0.020000,12.783462,6.709549,17.279273,3.541163,-2.361155,0.360672,5.881851
0.020000,12.847565,6.681722,17.349155,3.494115,-2.352385,0.438489,5.865319
0.020000,12.910341,6.653215,17.418101,3.447276,-2.341956,0.521458,5.848397
0.020000,12.971778,6.624037,17.486115,3.400701,-2.328753,0.660159,5.831099
0.020000,13.031867,6.594201,17.553203,3.354392,-2.315468,0.664245,5.813440
0.020000,13.090597,6.563722,17.619371,3.308413,-2.298905,0.828148,5.795440
0.020000,13.147963,6.532617,17.684627,3.262790,-2.281158,0.887351,5.777119
0.020000,13.203957,6.500903,17.748978,3.217579,-2.260575,1.029130,5.758500
0.020000,13.258575,6.468601,17.812434,3.172791,-2.239367,1.060413,5.739607
0.020000,13.311816,6.435731,17.875004,3.128477,-2.215715,1.182632,5.720468
0.020000,13.363677,6.402317,17.936697,3.084666,-2.190537,1.258892,5.701112
0.020000,13.414160,6.368383,17.997525,3.041388,-2.163925,1.330561,5.681568
0.020000,13.463268,6.333956,18.057498,2.998673,-2.135725,1.410010,5.661868
0.020000,13.511005,6.299063,18.116629,2.956533,-2.107044,1.434057,5.642047
0.020000,13.557379,6.263731,18.174929,2.914993,-2.076992,1.502592,5.622137
0.020000,13.602398,6.227991,18.232410,2.874060,-2.046625,1.518369,5.602174
0.020000,13.646073,6.191872,18.289085,2.833743,-2.015845,1.538999,5.582193
0.020000,13.688416,6.155407,18.344966,2.794042,-1.985067,1.538896,5.562229
0.020000,13.729442,6.118626,18.400065,2.754954,-1.954420,1.532355,5.542317
0.020000,13.769166,6.081563,18.454394,2.716457,-1.924821,1.479970,5.522491
0.020000,13.807605,6.044250,18.507965,2.678557,-1.895030,1.489534,5.502785
0.020000,13.844779,6.006720,18.560789,2.641206,-1.867539,1.374532,5.483230
0.020000,13.880707,5.969006,18.612877,2.604399,-1.840338,1.360052,5.463858
0.020000,13.915411,5.931143,18.664239,2.568097,-1.815115,1.261152,5.444696
0.020000,13.948914,5.893162,18.714884,2.532264,-1.791620,1.174762,5.425774
0.020000,13.981240,5.855099,18.764822,2.496891,-1.768658,1.148115,5.407114
0.020000,14.012412,5.816984,18.814060,2.461894,-1.749839,0.940948,5.388741
0.020000,14.042455,5.778853,18.862605,2.427273,-1.731080,0.937914,5.370676
0.020000,14.071397,5.740735,18.910465,2.392982,-1.714561,0.825946,5.352935
0.020000,14.099262,5.702665,18.957644,2.358949,-1.701615,0.647305,5.335537
0.020000,14.126079,5.664671,19.004148,2.325193,-1.687822,0.689669,5.318495
0.020000,14.151873,5.626786,19.049980,2.291617,-1.678780,0.452124,5.301820
0.020000,14.176672,5.589039,19.095145,2.258231,-1.669311,0.473407,5.285523
0.020000,14.200504,5.551459,19.139644,2.224974,-1.662843,0.323435,5.269611
0.020000,14.223396,5.514075,19.183481,2.191832,-1.657112,0.286536,5.254090
0.020000,14.245376,5.476914,19.226655,2.158721,-1.655567,0.077230,5.238964
0.020000,14.266470,5.440002,19.269170,2.125709,-1.650587,0.249010,5.224236
0.020000,14.286707,5.403367,19.311023,2.092680,-1.651420,-0.041659,5.209906
0.020000,14.306113,5.367031,19.352216,2.059640,-1.652030,-0.030473,5.195975
0.020000,14.324715,5.331020,19.392747,2.026570,-1.653484,-0.072711,5.182440
0.020000,14.342539,5.295357,19.432617,1.993488,-1.654096,-0.030622,5.169300
0.020000,14.359610,5.260062,19.471823,1.960314,-1.658704,-0.230360,5.156550
0.020000,14.375956,5.225158,19.510365,1.927088,-1.661310,-0.130317,5.144186
0.020000,14.391600,5.190665,19.548240,1.893748,-1.667009,-0.284959,5.132203
0.020000,14.406567,5.156602,19.585446,1.860305,-1.672154,-0.257217,5.120595
0.020000,14.420881,5.122987,19.621982,1.826774,-1.676524,-0.218503,5.109357
0.020000,14.434566,5.089839,19.657844,1.793128,-1.682289,-0.288253,5.098481
0.020000,14.447644,5.057172,19.693031,1.759343,-1.689261,-0.348614,5.087960
0.020000,14.460138,5.025005,19.727540,1.725425,-1.695933,-0.333618,5.077788
0.020000,14.472070,4.993351,19.761368,1.691404,-1.701026,-0.254635,5.067957
0.020000,14.483460,4.962225,19.794513,1.657255,-1.707464,-0.321907,5.058459
0.020000,14.494330,4.931640,19.826971,1.622930,-1.716216,-0.437589,5.049287
0.020000,14.504699,4.901610,19.858742,1.588509,-1.721061,-0.242266,5.040433
0.020000,14.514586,4.872146,19.889820,1.553945,-1.728233,-0.358577,5.031890
0.020000,14.524011,4.843259,19.920206,1.519270,-1.733744,-0.275565,5.023650
0.020000,14.532991,4.814961,19.949895,1.484437,-1.741618,-0.393711,5.015706
0.020000,14.541543,4.787261,19.978884,1.449471,-1.748318,-0.335008,5.008050
0.020000,14.549685,4.760171,20.007172,1.414395,-1.753780,-0.273074,5.000676
0.020000,14.557434,4.733697,20.034757,1.379236,-1.757950,-0.208504,4.993576
0.020000,14.564804,4.707850,20.061634,1.343852,-1.769236,-0.564280,4.986743
0.020000,14.571811,4.682636,20.087803,1.308464,-1.769370,-0.006726,4.980171
0.020000,14.578469,4.658064,20.113261,1.272920,-1.777230,-0.392978,4.973853
0.020000,14.584793,4.634141,20.138006,1.237241,-1.783932,-0.335124,4.967784
0.020000,14.590795,4.610873,20.162035,1.201452,-1.789446,-0.275687,4.961956
0.020000,14.596489,4.588268,20.185347,1.165577,-1.793747,-0.215031,4.956364
0.020000,14.601888,4.566330,20.207940,1.129641,-1.796816,-0.153492,4.951003
0.020000,14.607003,4.545065,20.229811,1.093567,-1.803686,-0.343488,4.945866
0.020000,14.611845,4.524478,20.250960,1.057437,-1.806498,-0.140596,4.940949
0.020000,14.616426,4.504575,20.271383,1.021146,-1.814574,-0.403796,4.936247
0.020000,14.620755,4.485360,20.291079,0.984839,-1.815316,-0.037099,4.931755
0.020000,14.624843,4.466837,20.310048,0.948439,-1.819998,-0.234114,4.927468
0.020000,14.628699,4.449010,20.328288,0.911968,-1.823571,-0.178638,4.923382
0.020000,14.632333,4.431883,20.345796,0.875414,-1.827720,-0.207448,4.919493
0.020000,14.635752,4.415460,20.362571,0.838738,-1.833797,-0.303851,4.915797
0.020000,14.638965,4.399743,20.378613,0.802124,-1.830675,0.156103,4.912289
0.020000,14.641979,4.384737,20.393919,0.765286,-1.841900,-0.561232,4.908967
0.020000,14.644802,4.370443,20.408489,0.728505,-1.839056,0.142178,4.905827
0.020000,14.647442,4.356864,20.422322,0.691646,-1.842959,-0.195134,4.902866
0.020000,14.649903,4.344003,20.435416,0.654719,-1.846363,-0.170234,4.900081
0.020000,14.652192,4.331862,20.447771,0.617743,-1.848757,-0.119694,4.897469
0.020000,14.654316,4.320443,20.459386,0.580741,-1.850142,-0.069221,4.895028
0.020000,14.656278,4.309748,20.470260,0.543694,-1.852326,-0.109230,4.892754
0.020000,14.658085,4.299780,20.480390,0.506534,-1.857992,-0.283275,4.890646
0.020000,14.659741,4.290538,20.489779,0.469455,-1.853973,0.200947,4.888701
0.020000,14.661250,4.282025,20.498425,0.432261,-1.859686,-0.285653,4.886918
0.020000,14.662615,4.274243,20.506325,0.395035,-1.861292,-0.080311,4.885295
0.020000,14.663842,4.267193,20.513482,0.357820,-1.860767,0.026280,4.883830
0.020000,14.664931,4.260875,20.519893,0.320569,-1.862528,-0.088053,4.882522
0.020000,14.665887,4.255290,20.525559,0.283302,-1.863351,-0.041167,4.881370
0.020000,14.666712,4.250440,20.530479,0.246003,-1.864942,-0.079539,4.880371
0.020000,14.667408,4.246325,20.534652,0.208632,-1.868552,-0.180533,4.879526
0.020000,14.667977,4.242945,20.538080,0.171380,-1.862608,0.297230,4.878833
0.020000,14.668420,4.240303,20.540759,0.133950,-1.871497,-0.444474,4.878292
0.020000,14.668739,4.238397,20.542692,0.096650,-1.865000,0.324841,4.877903
0.020000,14.668935,4.237227,20.543878,0.059303,-1.867360,-0.117960,4.877664
0.020000,14.669019,4.236718,20.544393,0.025792,-1.675551,9.590448,4.877560
0.020000,14.669037,4.236610,20.544503,0.005482,-1.015497,33.002702,4.877538
0.020000,14.669037,4.236610,20.544503,0.000000,-0.274108,37.069442,4.877538
